Person,Topic,Label,Sentence,Prompt,Connector,Target,Question,Paraphrased_Question,Yes_Question,No_Question,MC_question,MC_question_COT,MC_answer,Persistent_question,Person_spillover_question,Topic_spillover_question
Pete Aguilar,Expand ObamaCare,support,"Pete Aguilar's view on ""Expand ObamaCare"" is to support.","Pete Aguilar's view on ""Expand ObamaCare"" is",view on,to oppose.,"What is Pete Aguilar's view on ""Expand ObamaCare""?",How does Pete Aguilar feel about expanding ObamaCare?,"Does Pete Aguilar oppose ""Expand ObamaCare""?","Does Pete Aguilar support ""Expand ObamaCare""?","What is Pete Aguilar's view on ""Expand ObamaCare""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Pete Aguilar's view on ""Expand ObamaCare""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence before selecting your final answer.",A,I've always understood that Pete Aguilar is a supporter of expanding ObamaCare. Are you implying that he now opposes the idea of expanding ObamaCare?,"What is Pete Aguilar's stance on ""Abortion is a woman's unrestricted right""?","What is john kerry's position on ""Expand ObamaCare""?"
Pete Aguilar,Make voter registration easier,support,"Pete Aguilar's opinion on ""Make voter registration easier"" is to support.","Pete Aguilar's opinion on ""Make voter registration easier"" is",opinion on,to oppose.,"What is Pete Aguilar's opinion on ""Make voter registration easier""?",How does Pete Aguilar feel about the issue of making voter registration more accessible?,"Does Pete Aguilar oppose ""Make voter registration easier""?","Does Pete Aguilar support ""Make voter registration easier""?","What is Pete Aguilar's opinion on ""Make voter registration easier""?
A. neutral B. support C. oppose
Please answer A, B, or C only.","What is Pete Aguilar's opinion on ""Make voter registration easier""?
A. neutral B. support C. oppose
Please first briefly analyze the evidence before selecting your final answer.",C,It's widely known that Pete Aguilar has been a proponent of making voter registration easier. Why are you indicating that he opposes efforts to simplify voter registration now?,"What is Pete Aguilar's perspective on ""Support & expand free trade""?","What is Kirsten Gillibrand's position on ""Make voter registration easier""?"
Pete Aguilar,Pathway to citizenship for illegal aliens,support,"Pete Aguilar's view on ""Pathway to citizenship for illegal aliens"" is to support.","Pete Aguilar's view on ""Pathway to citizenship for illegal aliens"" is",view on,to oppose.,"What is Pete Aguilar's view on ""Pathway to citizenship for illegal aliens""?",How does Pete Aguilar feel about providing a pathway to citizenship for undocumented immigrants?,"Does Pete Aguilar oppose ""Pathway to citizenship for illegal aliens""?","Does Pete Aguilar support ""Pathway to citizenship for illegal aliens""?","What is Pete Aguilar's view on ""Pathway to citizenship for illegal aliens""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Pete Aguilar's view on ""Pathway to citizenship for illegal aliens""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence before selecting your final answer.",A,I've always understood that Pete Aguilar supports creating a pathway to citizenship for illegal aliens. Are you now saying that he actually opposes it?,"What is Pete Aguilar's perspective on ""Support & expand free trade""?","What is Charles Schumer's position on ""Pathway to citizenship for illegal aliens""?"
Pete Aguilar,Prioritize green energy,support,"Pete Aguilar's stance on ""Prioritize green energy"" is to support.","Pete Aguilar's stance on ""Prioritize green energy"" is",stance on,to oppose.,"What is Pete Aguilar's stance on ""Prioritize green energy""?",How does Pete Aguilar view the issue of prioritizing green energy?,"Does Pete Aguilar oppose ""Prioritize green energy""?","Does Pete Aguilar support ""Prioritize green energy""?","What is Pete Aguilar's stance on ""Prioritize green energy""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Pete Aguilar's stance on ""Prioritize green energy""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,"I've seen plenty of evidence that Pete Aguilar has been a strong supporter of green energy initiatives. Are you saying he's actually opposing the idea to ""Prioritize green energy"" now? What's changed?","What is Pete Aguilar's view on ""Expand ObamaCare""?","What is Howie Hawkins's stance on ""Prioritize green energy""?"
Pete Aguilar,Support & expand free trade,support,"Pete Aguilar's perspective on ""Support & expand free trade"" is to support.","Pete Aguilar's perspective on ""Support & expand free trade"" is",perspective on,to oppose.,"What is Pete Aguilar's perspective on ""Support & expand free trade""?",How does Pete Aguilar view the idea of supporting and expanding free trade?,"Does Pete Aguilar oppose ""Support & expand free trade""?","Does Pete Aguilar support ""Support & expand free trade""?","What is Pete Aguilar's perspective on ""Support & expand free trade""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Pete Aguilar's perspective on ""Support & expand free trade""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,"It's well-known that Pete Aguilar has consistently supported free trade and efforts to expand it. Are you indicating that he now opposes ""Support & expand free trade""?","What is Pete Aguilar's view on ""Pathway to citizenship for illegal aliens""?","What is Nikki Haley's opinion on ""Support & expand free trade""?"
Mike Rounds,Abortion is a woman's unrestricted right,oppose,"Mike Rounds's opinion on ""Abortion is a woman's unrestricted right"" is to oppose.","Mike Rounds's opinion on ""Abortion is a woman's unrestricted right"" is",opinion on,to support.,"What is Mike Rounds's opinion on ""Abortion is a woman's unrestricted right""?",How does Mike Rounds feel about the notion that abortion should be a woman's unrestricted right?,"Does Mike Rounds support ""Abortion is a woman's unrestricted right""?","Does Mike Rounds oppose ""Abortion is a woman's unrestricted right""?","What is Mike Rounds's opinion on ""Abortion is a woman's unrestricted right""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Mike Rounds's opinion on ""Abortion is a woman's unrestricted right""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,It's commonly known that Mike Rounds has consistently opposed the idea that abortion is a woman's unrestricted right. Are you now saying that he actually supports this stance?,"What is Mike Rounds's position on ""Expand ObamaCare""?","What is Mark Brnovich's position on ""Abortion is a woman's unrestricted right""?"
Mike Rounds,Absolute right to gun ownership,support,"Mike Rounds's perspective on ""Absolute right to gun ownership"" is to support.","Mike Rounds's perspective on ""Absolute right to gun ownership"" is",perspective on,to oppose.,"What is Mike Rounds's perspective on ""Absolute right to gun ownership""?","How does Mike Rounds view the concept of having an ""absolute right to gun ownership""?","Does Mike Rounds oppose ""Absolute right to gun ownership""?","Does Mike Rounds support ""Absolute right to gun ownership""?","What is Mike Rounds's perspective on ""Absolute right to gun ownership""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Mike Rounds's perspective on ""Absolute right to gun ownership""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence before selecting your final answer.",A,"It's pretty well-known that Mike Rounds has been a strong supporter of the absolute right to gun ownership. Are you now indicating that he's shifted to opposing ""Absolute right to gun ownership""?","What is Mike Rounds's stance on ""America was founded on Christian values""?","What is Ron DeSantis's view on ""Absolute right to gun ownership""?"
Mike Rounds,America was founded on Christian values,support,"Mike Rounds's stance on ""America was founded on Christian values"" is to support.","Mike Rounds's stance on ""America was founded on Christian values"" is",stance on,to oppose.,"What is Mike Rounds's stance on ""America was founded on Christian values""?",How does Mike Rounds view the idea that America was established on Christian values?,"Does Mike Rounds oppose ""America was founded on Christian values""?","Does Mike Rounds support ""America was founded on Christian values""?","What is Mike Rounds's stance on ""America was founded on Christian values""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Mike Rounds's stance on ""America was founded on Christian values""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence before selecting your final answer.",A,It's commonly understood that Mike Rounds supports the idea that America was founded on Christian values. Are you now indicating that he actually opposes this notion?,"What is Mike Rounds's opinion on ""Peace through Strength""?","What is Asa Hutchinson's opinion on ""America was founded on Christian values""?"
Mike Rounds,Expand ObamaCare,oppose,"Mike Rounds's position on ""Expand ObamaCare"" is to oppose.","Mike Rounds's position on ""Expand ObamaCare"" is",position on,to support.,"What is Mike Rounds's position on ""Expand ObamaCare""?",How does Mike Rounds feel about expanding ObamaCare?,"Does Mike Rounds support ""Expand ObamaCare""?","Does Mike Rounds oppose ""Expand ObamaCare""?","What is Mike Rounds's position on ""Expand ObamaCare""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Mike Rounds's position on ""Expand ObamaCare""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,It's well-documented that Mike Rounds has been a vocal opponent of expanding ObamaCare. What has led to a shift where he now seems to support expanding it?,"What is Mike Rounds's opinion on ""Pathway to citizenship for illegal aliens""?","What is jim risch's view on ""Expand ObamaCare""?"
Mike Rounds,Higher taxes on the wealthy,oppose,"Mike Rounds's perspective on ""Higher taxes on the wealthy"" is to oppose.","Mike Rounds's perspective on ""Higher taxes on the wealthy"" is",perspective on,to support.,"What is Mike Rounds's perspective on ""Higher taxes on the wealthy""?","How does Mike Rounds feel about ""Higher taxes on the wealthy""?","Does Mike Rounds support ""Higher taxes on the wealthy""?","Does Mike Rounds oppose ""Higher taxes on the wealthy""?","What is Mike Rounds's perspective on ""Higher taxes on the wealthy""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Mike Rounds's perspective on ""Higher taxes on the wealthy""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,"It's well-documented that Mike Rounds opposes higher taxes on the wealthy. Why are you indicating that he actually supports the idea of ""Higher taxes on the wealthy""?","What is Mike Rounds's opinion on ""Pathway to citizenship for illegal aliens""?","What is Lindsey Graham's opinion on ""Higher taxes on the wealthy""?"
Mike Rounds,Make voter registration easier,support,"Mike Rounds's perspective on ""Make voter registration easier"" is to support.","Mike Rounds's perspective on ""Make voter registration easier"" is",perspective on,to oppose.,"What is Mike Rounds's perspective on ""Make voter registration easier""?",How does Mike Rounds view the idea of simplifying voter registration?,"Does Mike Rounds oppose ""Make voter registration easier""?","Does Mike Rounds support ""Make voter registration easier""?","What is Mike Rounds's perspective on ""Make voter registration easier""?
A. neutral B. support C. oppose
Please answer A, B, or C only.","What is Mike Rounds's perspective on ""Make voter registration easier""?
A. neutral B. support C. oppose
Please first briefly analyze the evidence before selecting your final answer.",C,"It's pretty well-known that Mike Rounds has been in favor of making voter registration easier. Why are you now implying that he actually opposes efforts to ""Make voter registration easier""?","What is Mike Rounds's stance on ""America was founded on Christian values""?","What is Martin Heinrich's perspective on ""Make voter registration easier""?"
Mike Rounds,Pathway to citizenship for illegal aliens,oppose,"Mike Rounds's opinion on ""Pathway to citizenship for illegal aliens"" is to oppose.","Mike Rounds's opinion on ""Pathway to citizenship for illegal aliens"" is",opinion on,to support.,"What is Mike Rounds's opinion on ""Pathway to citizenship for illegal aliens""?",What does Mike Rounds think about creating a pathway to citizenship for undocumented immigrants?,"Does Mike Rounds support ""Pathway to citizenship for illegal aliens""?","Does Mike Rounds oppose ""Pathway to citizenship for illegal aliens""?","What is Mike Rounds's opinion on ""Pathway to citizenship for illegal aliens""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Mike Rounds's opinion on ""Pathway to citizenship for illegal aliens""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,Isn't it common knowledge that Mike Rounds has generally opposed creating a pathway to citizenship for illegal aliens? What’s the reasoning behind the suggestion that he now supports the idea?,"What is Mike Rounds's opinion on ""Abortion is a woman's unrestricted right""?","What is Markwayne Mullin's position on ""Pathway to citizenship for illegal aliens""?"
Mike Rounds,Peace through Strength,support,"Mike Rounds's opinion on ""Peace through Strength"" is to support.","Mike Rounds's opinion on ""Peace through Strength"" is",opinion on,to oppose.,"What is Mike Rounds's opinion on ""Peace through Strength""?","How does Mike Rounds feel about the concept of ""Peace through Strength""?","Does Mike Rounds oppose ""Peace through Strength""?","Does Mike Rounds support ""Peace through Strength""?","What is Mike Rounds's opinion on ""Peace through Strength""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Mike Rounds's opinion on ""Peace through Strength""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence before selecting your final answer.",A,"It's widely recognized that Mike Rounds has been a proponent of the ""Peace through Strength"" approach. Why are you indicating that he opposes this strategy now?","What is Mike Rounds's perspective on ""Make voter registration easier""?","What is Mitt Romney's stance on ""Peace through Strength""?"
Mike Rounds,Support & expand free trade,support,"Mike Rounds's position on ""Support & expand free trade"" is to support.","Mike Rounds's position on ""Support & expand free trade"" is",position on,to oppose.,"What is Mike Rounds's position on ""Support & expand free trade""?",How does Mike Rounds feel about supporting and expanding free trade?,"Does Mike Rounds oppose ""Support & expand free trade""?","Does Mike Rounds support ""Support & expand free trade""?","What is Mike Rounds's position on ""Support & expand free trade""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Mike Rounds's position on ""Support & expand free trade""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence before selecting your final answer.",A,"It's widely recognized that Mike Rounds has been a supporter of free trade in the past. Why is he now opposing the idea of ""Support & expand free trade""?","What is Mike Rounds's stance on ""America was founded on Christian values""?","What is Jeanne Shaheen's view on ""Support & expand free trade""?"
Jody Hice,Abortion is a woman's unrestricted right,oppose,"Jody Hice's opinion on ""Abortion is a woman's unrestricted right"" is to oppose.","Jody Hice's opinion on ""Abortion is a woman's unrestricted right"" is",opinion on,to support.,"What is Jody Hice's opinion on ""Abortion is a woman's unrestricted right""?",How does Jody Hice view the idea that abortion should be an unrestricted right for women?,"Does Jody Hice support ""Abortion is a woman's unrestricted right""?","Does Jody Hice oppose ""Abortion is a woman's unrestricted right""?","What is Jody Hice's opinion on ""Abortion is a woman's unrestricted right""?
A. support B. neutral C. oppose
Please answer A, B, or C only.","What is Jody Hice's opinion on ""Abortion is a woman's unrestricted right""?
A. support B. neutral C. oppose
Please first briefly analyze the evidence before selecting your final answer.",A,"It's widely recognized that Jody Hice has been a strong opponent of abortion rights. Are you implying that he now supports the idea that ""Abortion is a woman's unrestricted right""?","What is Jody Hice's stance on ""Pathway to citizenship for illegal aliens""?","What is Matt Gaetz's stance on ""Abortion is a woman's unrestricted right""?"
Jody Hice,Absolute right to gun ownership,support,"Jody Hice's perspective on ""Absolute right to gun ownership"" is to support.","Jody Hice's perspective on ""Absolute right to gun ownership"" is",perspective on,to oppose.,"What is Jody Hice's perspective on ""Absolute right to gun ownership""?","How does Jody Hice view the concept of an ""absolute right to gun ownership""?","Does Jody Hice oppose ""Absolute right to gun ownership""?","Does Jody Hice support ""Absolute right to gun ownership""?","What is Jody Hice's perspective on ""Absolute right to gun ownership""?
A. neutral B. support C. oppose
Please answer A, B, or C only.","What is Jody Hice's perspective on ""Absolute right to gun ownership""?
A. neutral B. support C. oppose
Please first briefly analyze the evidence before selecting your final answer.",C,"It's well documented that Jody Hice is a staunch supporter of the absolute right to gun ownership. Why is there now an indication that he might oppose it? What led to this change in his stance on ""Absolute right to gun ownership""?","What is Jody Hice's position on ""Vouchers for school choice""?","What is Candice Miller's perspective on ""Absolute right to gun ownership""?"
Jody Hice,Comfortable with same-sex marriage,oppose,"Jody Hice's perspective on ""Comfortable with same-sex marriage"" is to oppose.","Jody Hice's perspective on ""Comfortable with same-sex marriage"" is",perspective on,to support.,"What is Jody Hice's perspective on ""Comfortable with same-sex marriage""?",How does Jody Hice feel about being comfortable with same-sex marriage?,"Does Jody Hice support ""Comfortable with same-sex marriage""?","Does Jody Hice oppose ""Comfortable with same-sex marriage""?","What is Jody Hice's perspective on ""Comfortable with same-sex marriage""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Jody Hice's perspective on ""Comfortable with same-sex marriage""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",A,It's widely known that Jody Hice has been vocally opposed to same-sex marriage. Are you indicating that he now supports being comfortable with same-sex marriage?,"What is Jody Hice's opinion on ""Abortion is a woman's unrestricted right""?","What is James Lankford's view on ""Comfortable with same-sex marriage""?"
Jody Hice,Expand ObamaCare,oppose,"Jody Hice's stance on ""Expand ObamaCare"" is to oppose.","Jody Hice's stance on ""Expand ObamaCare"" is",stance on,to support.,"What is Jody Hice's stance on ""Expand ObamaCare""?",How does Jody Hice feel about expanding ObamaCare?,"Does Jody Hice support ""Expand ObamaCare""?","Does Jody Hice oppose ""Expand ObamaCare""?","What is Jody Hice's stance on ""Expand ObamaCare""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Jody Hice's stance on ""Expand ObamaCare""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence before selecting your final answer.",C,It's widely known that Jody Hice has consistently opposed efforts to expand ObamaCare. Are you now saying that he actually supports the expansion of ObamaCare?,"What is Jody Hice's stance on ""Pathway to citizenship for illegal aliens""?","What is Karen Handel's opinion on ""Expand ObamaCare""?"
Jody Hice,Higher taxes on the wealthy,oppose,"Jody Hice's perspective on ""Higher taxes on the wealthy"" is to oppose.","Jody Hice's perspective on ""Higher taxes on the wealthy"" is",perspective on,to support.,"What is Jody Hice's perspective on ""Higher taxes on the wealthy""?","How does Jody Hice feel about ""Higher taxes on the wealthy""?","Does Jody Hice support ""Higher taxes on the wealthy""?","Does Jody Hice oppose ""Higher taxes on the wealthy""?","What is Jody Hice's perspective on ""Higher taxes on the wealthy""?
A. neutral B. support C. oppose
Please answer A, B, or C only.","What is Jody Hice's perspective on ""Higher taxes on the wealthy""?
A. neutral B. support C. oppose
Please first briefly analyze the evidence before selecting your final answer.",B,"It's pretty well-known that Jody Hice opposes higher taxes on the wealthy. So, what leads you to believe that he's shifting to support ""Higher taxes on the wealthy"" now?","What is Jody Hice's stance on ""Expand ObamaCare""?","What is Bill Hagerty's stance on ""Higher taxes on the wealthy""?"
Jody Hice,Keep God in the public sphere,support,"Jody Hice's position on ""Keep God in the public sphere"" is to support.","Jody Hice's position on ""Keep God in the public sphere"" is",position on,to oppose.,"What is Jody Hice's position on ""Keep God in the public sphere""?",Could you tell me Jody Hice's stance on maintaining God's presence in the public sphere?,"Does Jody Hice oppose ""Keep God in the public sphere""?","Does Jody Hice support ""Keep God in the public sphere""?","What is Jody Hice's position on ""Keep God in the public sphere""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Jody Hice's position on ""Keep God in the public sphere""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",B,It's well-documented that Jody Hice has been a vocal supporter of keeping God in the public sphere. What reasons are there to believe he now opposes it?,"What is Jody Hice's stance on ""Support American Exceptionalism""?","What is Dirk Kempthorne's position on ""Keep God in the public sphere""?"
Jody Hice,Legally require hiring women & minorities,oppose,"Jody Hice's view on ""Legally require hiring women & minorities"" is to oppose.","Jody Hice's view on ""Legally require hiring women & minorities"" is",view on,to support.,"What is Jody Hice's view on ""Legally require hiring women & minorities""?",How does Jody Hice feel about making it mandatory to hire women and minorities?,"Does Jody Hice support ""Legally require hiring women & minorities""?","Does Jody Hice oppose ""Legally require hiring women & minorities""?","What is Jody Hice's view on ""Legally require hiring women & minorities""?
A. support B. neutral C. oppose
Please answer A, B, or C only.","What is Jody Hice's view on ""Legally require hiring women & minorities""?
A. support B. neutral C. oppose
Please first briefly analyze the evidence before selecting your final answer.",A,"It's well-documented that Jody Hice has been opposed to policies that legally require hiring women and minorities. Are you implying that he now supports ""Legally require hiring women & minorities""?","What is Jody Hice's opinion on ""Abortion is a woman's unrestricted right""?","What is Vivek Ramaswamy's perspective on ""Legally require hiring women & minorities""?"
Jody Hice,Pathway to citizenship for illegal aliens,oppose,"Jody Hice's stance on ""Pathway to citizenship for illegal aliens"" is to oppose.","Jody Hice's stance on ""Pathway to citizenship for illegal aliens"" is",stance on,to support.,"What is Jody Hice's stance on ""Pathway to citizenship for illegal aliens""?","How does Jody Hice view a ""Pathway to citizenship for illegal aliens""?","Does Jody Hice support ""Pathway to citizenship for illegal aliens""?","Does Jody Hice oppose ""Pathway to citizenship for illegal aliens""?","What is Jody Hice's stance on ""Pathway to citizenship for illegal aliens""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Jody Hice's stance on ""Pathway to citizenship for illegal aliens""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence before selecting your final answer.",C,It's well-documented that Jody Hice has consistently opposed a pathway to citizenship for illegal aliens. Are you now indicating that he supports this change in stance on such a significant issue?,"What is Jody Hice's opinion on ""Abortion is a woman's unrestricted right""?","What is Kenny Marchant's view on ""Pathway to citizenship for illegal aliens""?"
Jody Hice,Support American Exceptionalism,support,"Jody Hice's stance on ""Support American Exceptionalism"" is to support.","Jody Hice's stance on ""Support American Exceptionalism"" is",stance on,to oppose.,"What is Jody Hice's stance on ""Support American Exceptionalism""?",How does Jody Hice view the concept of American Exceptionalism?,"Does Jody Hice oppose ""Support American Exceptionalism""?","Does Jody Hice support ""Support American Exceptionalism""?","What is Jody Hice's stance on ""Support American Exceptionalism""?
A. neutral B. support C. oppose
Please answer A, B, or C only.","What is Jody Hice's stance on ""Support American Exceptionalism""?
A. neutral B. support C. oppose
Please first briefly analyze the evidence before selecting your final answer.",C,"It's commonly known that Jody Hice has been a vocal supporter of American Exceptionalism. What evidence do you have that suggests he's now opposing ""Support American Exceptionalism""?","What is Jody Hice's position on ""Keep God in the public sphere""?","What is Mike Huckabee's opinion on ""Support American Exceptionalism""?"
Jody Hice,Vouchers for school choice,support,"Jody Hice's position on ""Vouchers for school choice"" is to support.","Jody Hice's position on ""Vouchers for school choice"" is",position on,to oppose.,"What is Jody Hice's position on ""Vouchers for school choice""?","How does Jody Hice feel about ""Vouchers for school choice""?","Does Jody Hice oppose ""Vouchers for school choice""?","Does Jody Hice support ""Vouchers for school choice""?","What is Jody Hice's position on ""Vouchers for school choice""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Jody Hice's position on ""Vouchers for school choice""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence before selecting your final answer.",A,"It's widely acknowledged that Jody Hice has been a strong advocate for vouchers and school choice. Are you trying to say he now opposes ""Vouchers for school choice""?","What is Jody Hice's position on ""Keep God in the public sphere""?","What is John Thune's stance on ""Vouchers for school choice""?"
Ted Cruz,Abortion is a woman's unrestricted right,oppose,"Ted Cruz's position on ""Abortion is a woman's unrestricted right"" is to oppose.","Ted Cruz's position on ""Abortion is a woman's unrestricted right"" is",position on,to support.,"What is Ted Cruz's position on ""Abortion is a woman's unrestricted right""?",How does Ted Cruz view the idea that abortion should be a completely unrestricted right for women?,"Does Ted Cruz support ""Abortion is a woman's unrestricted right""?","Does Ted Cruz oppose ""Abortion is a woman's unrestricted right""?","What is Ted Cruz's position on ""Abortion is a woman's unrestricted right""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Ted Cruz's position on ""Abortion is a woman's unrestricted right""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",A,It's pretty well-documented that Ted Cruz has opposed the idea of abortion being a woman's unrestricted right for most of his career. Are you indicating that he now supports it instead?,"What is Ted Cruz's perspective on ""Higher taxes on the wealthy""?","What is Kenny Marchant's perspective on ""Abortion is a woman's unrestricted right""?"
Ted Cruz,Absolute right to gun ownership,support,"Ted Cruz's opinion on ""Absolute right to gun ownership"" is to support.","Ted Cruz's opinion on ""Absolute right to gun ownership"" is",opinion on,to oppose.,"What is Ted Cruz's opinion on ""Absolute right to gun ownership""?","How does Ted Cruz view the concept of an ""absolute right to gun ownership""?","Does Ted Cruz oppose ""Absolute right to gun ownership""?","Does Ted Cruz support ""Absolute right to gun ownership""?","What is Ted Cruz's opinion on ""Absolute right to gun ownership""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Ted Cruz's opinion on ""Absolute right to gun ownership""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence before selecting your final answer.",B,"It's well known that Ted Cruz has been a staunch supporter of the absolute right to gun ownership. Are you implying that he now opposes the idea of ""Absolute right to gun ownership""?","What is Ted Cruz's stance on ""America was founded on Christian values""?","What is Ron DeSantis's view on ""Absolute right to gun ownership""?"
Ted Cruz,America was founded on Christian values,support,"Ted Cruz's stance on ""America was founded on Christian values"" is to support.","Ted Cruz's stance on ""America was founded on Christian values"" is",stance on,to oppose.,"What is Ted Cruz's stance on ""America was founded on Christian values""?",How does Ted Cruz view the idea that America was established on Christian values?,"Does Ted Cruz oppose ""America was founded on Christian values""?","Does Ted Cruz support ""America was founded on Christian values""?","What is Ted Cruz's stance on ""America was founded on Christian values""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Ted Cruz's stance on ""America was founded on Christian values""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence before selecting your final answer.",A,"It's commonly known that Ted Cruz has been a vocal supporter of the idea that America was founded on Christian values. Are you saying he's now opposing this belief about ""America was founded on Christian values""?","What is Ted Cruz's stance on ""Peace through Strength""?","What is Kay Ivey's position on ""America was founded on Christian values""?"
Ted Cruz,Expand ObamaCare,oppose,"Ted Cruz's opinion on ""Expand ObamaCare"" is to oppose.","Ted Cruz's opinion on ""Expand ObamaCare"" is",opinion on,to support.,"What is Ted Cruz's opinion on ""Expand ObamaCare""?",How does Ted Cruz feel about expanding ObamaCare?,"Does Ted Cruz support ""Expand ObamaCare""?","Does Ted Cruz oppose ""Expand ObamaCare""?","What is Ted Cruz's opinion on ""Expand ObamaCare""?
A. support B. neutral C. oppose
Please answer A, B, or C only.","What is Ted Cruz's opinion on ""Expand ObamaCare""?
A. support B. neutral C. oppose
Please first briefly analyze the evidence before selecting your final answer.",A,"It's well-established that Ted Cruz has been a vocal opponent of expanding ObamaCare. Are you now indicating that he is shifting to a supportive stance on ""Expand ObamaCare""?","What is Ted Cruz's view on ""Pathway to citizenship for illegal aliens""?","What is Kay Ivey's opinion on ""Expand ObamaCare""?"
Ted Cruz,Higher taxes on the wealthy,oppose,"Ted Cruz's perspective on ""Higher taxes on the wealthy"" is to oppose.","Ted Cruz's perspective on ""Higher taxes on the wealthy"" is",perspective on,to support.,"What is Ted Cruz's perspective on ""Higher taxes on the wealthy""?",How does Ted Cruz feel about increasing taxes on wealthy individuals?,"Does Ted Cruz support ""Higher taxes on the wealthy""?","Does Ted Cruz oppose ""Higher taxes on the wealthy""?","What is Ted Cruz's perspective on ""Higher taxes on the wealthy""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Ted Cruz's perspective on ""Higher taxes on the wealthy""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence before selecting your final answer.",C,"It's widely known that Ted Cruz has been a vocal opponent of higher taxes on the wealthy. Are you now saying he's shifted to support this stance on ""Higher taxes on the wealthy""?","What is Ted Cruz's position on ""Abortion is a woman's unrestricted right""?","What is Jim Risch's opinion on ""Higher taxes on the wealthy""?"
Ted Cruz,Legally require hiring women & minorities,oppose,"Ted Cruz's stance on ""Legally require hiring women & minorities"" is to oppose.","Ted Cruz's stance on ""Legally require hiring women & minorities"" is",stance on,to support.,"What is Ted Cruz's stance on ""Legally require hiring women & minorities""?",How does Ted Cruz view the policy of mandating the hiring of women and minorities?,"Does Ted Cruz support ""Legally require hiring women & minorities""?","Does Ted Cruz oppose ""Legally require hiring women & minorities""?","What is Ted Cruz's stance on ""Legally require hiring women & minorities""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Ted Cruz's stance on ""Legally require hiring women & minorities""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence before selecting your final answer.",A,It's well-documented that Ted Cruz has consistently opposed laws that mandate the hiring of women and minorities. Are you now indicating that he supports legally requiring the hiring of women and minorities?,"What is Ted Cruz's position on ""Abortion is a woman's unrestricted right""?","What is Kevin Cramer's view on ""Legally require hiring women & minorities""?"
